Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de fruto,Tomate,Tomate,2024,2024B,Transitorio,"5,20","7,00","35,70","5,10",1052901,5.2,7.0,1.7999999999999998,1.346153846153846
05,Antioquia,05030,Amagá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"15,00","30,00","25,17","0,84",1010402,15.0,30.0,15.0,2.0
05,Antioquia,05030,Amagá,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2023,2023A,Transitorio,"0,20","0,40","25,20","63,00",1052902,0.2,0.4,0.2,2.0
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"0,00","15,00","225,00","15,00",1081001,0.0,15.0,15.0,inf
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"0,00","13,50","202,50","15,00",1081001,0.0,13.5,13.5,inf
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"4,00","18,30","274,50","15,00",1081001,4.0,18.3,14.3,4.575
05,Antioquia,05030,Amagá,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"6,00","21,00","315,00","15,00",1081001,6.0,21.0,15.0,3.5
05,Antioquia,05031,Amalfi,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"75,00","125,00","112,50","0,90",1060200,75.0,125.0,50.0,1.6666666666666667
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022B,Transitorio,"0,00","100,00","110,00","1,10",1010402,0.0,100.0,100.0,inf
05,Antioquia,05031,Amalfi,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"0,00","140,00","154,00","1,10",1010402,0.0,140.0,140.0,inf
