metrica,valor_original,cantidad
Producción,"2.904,00",9
Producción,"2.960,00",9
Producción,"23.000,00",9
Producción,"25.000,00",9
Producción,"3.045,00",9
Producción,"3.696,00",9
Producción,"3.740,00",9
Producción,"4.240,00",9
Producción,"48.000,00",9
Producción,"6.960,00",9
Producción,"7.080,00",9
Producción,"7.320,00",9
Producción,"7.380,00",9
Producción,"7.560,00",9
Producción,"1.034,00",8
Producción,"1.066,00",8
Producción,"1.088,00",8
Producción,"1.092,50",8
Producción,"1.095,00",8
Producción,"1.128,00",8
Producción,"1.148,00",8
Producción,"1.175,00",8
Producción,"1.184,00",8
Producción,"1.197,00",8
Producción,"1.258,00",8
Producción,"1.287,00",8
Producción,"1.302,00",8
Producción,"1.352,00",8
Producción,"1.364,00",8
Producción,"1.476,00",8
Producción,"1.494,00",8
Producción,"1.573,00",8
Producción,"1.610,00",8
Producción,"1.638,00",8
Producción,"1.645,00",8
Producción,"1.664,00",8
Producción,"1.845,00",8
Producción,"1.908,00",8
Producción,"1.990,00",8
Producción,"11.900,00",8
Producción,"12.100,00",8
Producción,"17.000,00",8
Producción,"17.100,00",8
Producción,"17.250,00",8
Producción,"19.800,00",8
Producción,"2.072,00",8
Producción,"2.210,00",8
Producción,"2.268,00",8
Producción,"2.440,00",8
Producción,"2.475,00",8
Producción,"2.646,00",8
Producción,"2.736,00",8
Producción,"2.835,00",8
Producción,"2.856,00",8
Producción,"28.000,00",8
Producción,"3.075,00",8
Producción,"3.168,00",8
Producción,"3.456,00",8
Producción,"3.630,00",8
Producción,"3.760,00",8
Producción,"33.600,00",8
Producción,"4.225,00",8
Producción,"4.284,00",8
Producción,"4.420,00",8
Producción,"4.480,00",8
Producción,"4.850,00",8
Producción,"4.940,00",8
Producción,"5.220,00",8
Producción,"5.256,00",8
Producción,"5.530,00",8
Producción,"5.640,00",8
Producción,"6.080,00",8
Producción,"6.370,00",8
Producción,"6.650,00",8
Producción,"7.480,00",8
Producción,"7.900,00",8
Producción,"7.950,00",8
Producción,"8.050,00",8
Producción,"8.550,00",8
Producción,"8.820,00",8
Producción,"8.960,00",8
Producción,"9.100,00",8
Producción,"9.120,00",8
Producción,"1.002,00",7
Producción,"1.022,00",7
Producción,"1.036,00",7
Producción,"1.183,00",7
Producción,"1.185,00",7
Producción,"1.196,00",7
Producción,"1.206,00",7
Producción,"1.211,00",7
Producción,"1.233,00",7
Producción,"1.237,50",7
Producción,"1.276,00",7
Producción,"1.308,00",7
Producción,"1.372,00",7
Producción,"1.407,00",7
Producción,"1.435,00",7
Producción,"1.458,00",7
Producción,"1.477,00",7
Producción,"1.490,00",7
Producción,"1.496,00",7
Producción,"1.547,00",7
Producción,"1.631,00",7
Producción,"1.668,00",7
Producción,"1.687,50",7
Producción,"1.715,00",7
Producción,"1.736,00",7
Producción,"1.776,00",7
Producción,"1.998,00",7
Producción,"10.160,00",7
Producción,"10.600,00",7
Producción,"11.040,00",7
Producción,"12.750,00",7
Producción,"14.700,00",7
Producción,"15.200,00",7
Producción,"17.500,00",7
Producción,"2.004,00",7
Producción,"2.035.800,00",7
Producción,"2.145,00",7
Producción,"2.180,00",7
Producción,"2.190,00",7
Producción,"2.232,00",7
Producción,"2.256,00",7
Producción,"2.350,00",7
Producción,"2.370,00",7
Producción,"2.552,00",7
Producción,"2.677,50",7
Producción,"2.772,00",7
Producción,"2.920,00",7
Producción,"20.400,00",7
Producción,"20.700,00",7
Producción,"22.400,00",7
Producción,"22.950,00",7
Producción,"26.640,00",7
Producción,"3.115,00",7
Producción,"3.125,00",7
Producción,"3.185,00",7
Producción,"3.213,00",7
Producción,"3.225,00",7
Producción,"3.285,00",7
Producción,"3.460,00",7
Producción,"3.472,00",7
Producción,"3.528,00",7
Producción,"3.660,00",7
Producción,"3.710,00",7
Producción,"3.744,00",7
Producción,"30.060,00",7
Producción,"30.300,00",7
Producción,"31.200,00",7
Producción,"33.360,00",7
Producción,"4.025,00",7
