Código Dane municipio,Municipio,Código del cultivo,Cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento
5120,Cáceres,1010401,Maíz,2023,2023B,Transitorio,"200,00","689,00","1.722,50","2,50"
5120,Cáceres,1010401,Maíz,2024,2024B,Transitorio,"200,00","580,00","2.320,00","4,00"
5120,Cáceres,1010401,Maíz,2025,2025B,Transitorio,"200,00","440,00","1.760,00","4,00"
5120,Cáceres,1010402,Maíz,2022,2022B,Transitorio,"135,00","141,00","211,50","1,50"
5120,Cáceres,1010402,Maíz,2024,2024B,Transitorio,"300,00","880,00","1.320,00","1,50"
5120,Cáceres,1010402,Maíz,2025,2025B,Transitorio,"300,00","840,00","1.260,00","1,50"
5120,Cáceres,1010404,Maíz,2022,2022A,Transitorio,"95,00","157,00","235,50","1,50"
5120,Cáceres,1010404,Maíz,2023,2023A,Transitorio,"0,00","127,00","190,50","1,50"
5120,Cáceres,1080699,Ñame,2022,2022B,Transitorio,"100,00","250,00","3.500,00","14,00"
5120,Cáceres,1080699,Ñame,2023,2023A,Transitorio,"0,00","100,00","1.400,00","14,00"
5120,Cáceres,1081001,Yuca,2022,2022B,Transitorio,"300,00","350,00","5.250,00","15,00"
5120,Cáceres,1081001,Yuca,2023,2023B,Transitorio,"250,00","900,00","13.500,00","15,00"
5120,Cáceres,1081001,Yuca,2024,2024B,Transitorio,"0,00","750,00","13.500,00","18,00"
5120,Cáceres,1081001,Yuca,2025,2025B,Transitorio,"0,00","900,00","16.200,00","18,00"
5125,Caicedo,1080200,Arracacha,2023,2023A,Transitorio,"0,50","1,00","10,00","10,00"
5125,Caicedo,1080200,Arracacha,2023,2023B,Transitorio,"0,00","0,50","5,00","10,00"
5125,Caicedo,1080200,Arracacha,2024,2024B,Transitorio,"0,00","0,50","5,00","10,00"
5125,Caicedo,1080200,Arracacha,2025,2025B,Transitorio,"0,00","0,50","5,00","10,00"
5125,Caicedo,1060200,Frijol,2022,2022A,Transitorio,"12,00","21,00","23,10","1,10"
5125,Caicedo,1060200,Frijol,2023,2023A,Transitorio,"30,00","43,00","60,20","1,40"
5125,Caicedo,1060200,Frijol,2024,2024B,Transitorio,"12,00","34,00","47,60","1,40"
5125,Caicedo,1060200,Frijol,2025,2025B,Transitorio,"15,00","40,00","39,16","0,98"
5125,Caicedo,1010402,Maíz,2022,2022A,Transitorio,"10,00","25,00","27,50","1,10"
5125,Caicedo,1010402,Maíz,2023,2023B,Transitorio,"50,00","82,00","90,20","1,10"
5125,Caicedo,1010402,Maíz,2024,2024B,Transitorio,"50,00","74,50","81,95","1,10"
5125,Caicedo,1010402,Maíz,2025,2025B,Transitorio,"40,00","80,00","88,00","1,10"
5125,Caicedo,1010404,Maíz,2022,2022A,Transitorio,"5,00","27,00","29,70","1,10"
5125,Caicedo,1010404,Maíz,2023,2023A,Transitorio,"6,00","12,60","13,86","1,10"
5125,Caicedo,1010404,Maíz,2024,2024A,Transitorio,"7,00","9,00","9,90","1,10"
5125,Caicedo,1052902,Tomate,2022,2022A,Transitorio,"1,00","4,00","88,00","22,00"
5125,Caicedo,1081001,Yuca,2022,2022A,Transitorio,"10,00","12,00","240,00","20,00"
5125,Caicedo,1081001,Yuca,2023,2023A,Transitorio,"7,00","10,00","200,00","20,00"
5129,Caldas,1060200,Frijol,2022,2022A,Transitorio,"2,00","2,50","3,50","1,40"
5129,Caldas,1060200,Frijol,2022,2022B,Transitorio,"1,00","2,00","2,80","1,40"
5129,Caldas,1010402,Maíz,2023,2023A,Transitorio,"2,00","2,50","2,45","0,98"
