departamento,municipio,cultivo,produccion_total_ton,area_cosechada_total_ha,rendimiento_ton_ha
Cundinamarca,Quetame,Tomate,24156.50,637.50,37.89
Nariño,Barbacoas,Caña,18375.00,485.00,37.89
Risaralda,Guática,Sábila,1742.00,46.00,37.87
Santander,Albania,Caña,14411.20,381.00,37.82
Nariño,"San Lorenzo",Caña,119511.00,3175.00,37.64
Cundinamarca,Tausa,Zanahoria,101115.00,2687.00,37.63
Santander,Enciso,Sábila,2819.20,75.00,37.59
Antioquia,Chigorodó,Banano,898406.86,23927.00,37.55
"Valle del Cauca",Ulloa,Papaya,311.50,8.30,37.53
Putumayo,"Puerto Leguízamo",Caña,73881.00,1974.00,37.43
Boyacá,Pachavita,Caña,19406.40,519.00,37.39
"Valle del Cauca","La Cumbre",Repollo,4092.20,109.60,37.34
Casanare,Yopal,Piña,20128.50,539.00,37.34
Meta,"Puerto Gaitán",Caña,15703.20,421.00,37.30
Boyacá,Tibaná,Caña,32163.00,863.00,37.27
Cundinamarca,Cota,Remolacha,1310.50,35.17,37.26
Nariño,Potosí,Lechuga,151914.84,4081.00,37.22
Antioquia,Cisneros,Caña,232200.00,6242.00,37.20
Antioquia,Murindó,Caña,7616.72,205.00,37.15
Caldas,Riosucio,Tomate,512.40,13.80,37.13
"Norte de Santander",Durania,Tomate,1563.25,42.25,37.00
Quindío,Armenia,Tomate,14425.00,390.00,36.99
Cundinamarca,Anolaima,Caña,13641.00,369.00,36.97
Santander,Guapotá,Tomate,513.20,13.90,36.92
Antioquia,Maceo,Caña,119500.00,3238.00,36.91
Boyacá,Rondón,Tomate,2104.00,57.00,36.91
"Norte de Santander",Mutiscua,Fresa,9944.00,270.00,36.83
Nariño,Consacá,Tomate,4539.70,123.35,36.80
Santander,Hato,Patilla,220.00,6.00,36.67
Antioquia,Jericó,Naranja,15685.00,428.00,36.65
Boyacá,"Villa de Leyva",Manzana,670.37,18.31,36.61
Boyacá,"San José de Pare",Tomate,860.00,23.50,36.60
Córdoba,Sahagún,Caña,104280.00,2850.00,36.59
Cundinamarca,Villagómez,Caña,28915.00,793.00,36.46
Santander,Vélez,Tomate,1664.40,45.68,36.44
Sucre,"San Marcos",Piña,3535.00,97.00,36.44
Magdalena,"El Retén",Banano,386312.00,10606.00,36.42
Boyacá,Somondoco,Tomate,2789.60,76.70,36.37
Antioquia,Carepa,Banano,2702520.77,74459.70,36.30
"Norte de Santander",Chitagá,Caña,24609.30,681.00,36.14
Caquetá,Solita,Caña,31332.00,869.00,36.06
Caldas,Supía,Tomate,6807.00,188.80,36.05
Meta,"Fuente de Oro",Papaya,856.39,23.79,36.00
Antioquia,Carolina,"Tomate de árbol",36.00,1.00,36.00
Risaralda,Marsella,Naranja,31914.00,886.50,36.00
Antioquia,Abriaquí,Caña,33340.80,926.90,35.97
Antioquia,Briceño,Caña,28495.00,793.00,35.93
"Valle del Cauca","El Cerrito",Repollo,7673.40,213.54,35.93
Boyacá,"San Mateo",Caña,9054.40,252.00,35.93
Cesar,González,Pimentón,4412.45,122.85,35.92
"Norte de Santander",Convención,Tomate,19110.00,532.00,35.92
Nariño,"La Cruz",Tomate,2548.80,71.00,35.90
Antioquia,Andes,"Pepino Cohombro",448.34,12.50,35.87
"Norte de Santander",Lourdes,Tomate,1557.00,43.50,35.79
Huila,Saladoblanco,Tomate,3238.00,90.50,35.78
Boyacá,Sutatenza,Caña,8569.16,239.50,35.78
Cundinamarca,Quetame,Caña,23464.00,656.00,35.77
Boyacá,Moniquirá,Tomate,1566.25,43.80,35.76
Antioquia,"San Andrés de Cuerquía",Caña,18343.50,513.50,35.72
Chocó,Condoto,Caña,3785.00,106.00,35.71
Chocó,Cértegui,Caña,3462.00,97.00,35.69
Cundinamarca,Mosquera,Remolacha,13725.00,385.00,35.65
"Valle del Cauca",Alcalá,"Otros cítricos",14117.60,396.60,35.60
Antioquia,Granada,Caña,102682.00,2886.00,35.58
Boyacá,Saboyá,Remolacha,160.00,4.50,35.56
Cundinamarca,Cogua,Fresa,2488.00,70.00,35.54
Casanare,Tauramena,Piña,45604.00,1283.50,35.53
Santander,"San Andrés",Zanahoria,746.00,21.00,35.52
"Valle del Cauca",Ginebra,Tomate,6185.50,174.30,35.49
Caldas,Aguadas,Repollo,3165.50,89.30,35.45
"Valle del Cauca",Caicedonia,Piña,3975.00,112.20,35.43
Cundinamarca,Simijaca,"Cebolla de bulbo",24660.00,697.00,35.38
Huila,Pital,Repollo,476.90,13.50,35.33
Santander,Mogotes,Tomate,8031.00,227.40,35.32
"Norte de Santander",Salazar,Caña,16905.00,478.80,35.31
Meta,"San Martín",Caña,8287.00,235.00,35.26
Córdoba,Chinú,Caña,10598.00,301.00,35.21
Nariño,"El Tambo","Cebolla de bulbo",1443.00,41.00,35.20
"Valle del Cauca","La Victoria","Otros cítricos",8505.00,242.00,35.14
Antioquia,Támesis,Caña,36157.00,1028.80,35.14
Cauca,Puracé,Fresa,14990.22,427.20,35.09
Meta,"San Martín",Papaya,4308.00,123.00,35.02
Bolívar,"San Estanislao",Melón,5095.00,145.50,35.02
